epoch,accuracy_test_before,accuracy_test_after
0,0.7052186177715092,33.568406205923836
1,6.242424242424242,33.75757575757576
2,12.955729166666666,37.23958333333333
3,12.724935732647817,36.88946015424165
4,7.990012484394507,33.70786516853933
5,5.710306406685237,33.70473537604457
6,10.164141414141415,40.4040404040404
7,23.785351704133433,37.49093546047861
8,15.699450213805743,37.56872327428222
9,24.41988950276243,41.43646408839779
10,16.951219512195124,35.42682926829268
11,17.05128205128205,36.217948717948715
12,21.899362154500356,38.55421686746988
13,24.171952078928825,39.0415785764623
14,26.537013801756586,44.54203262233375
15,25.66903331512835,41.07045330420535
16,31.76392572944297,38.660477453580896
17,25.608856088560884,41.254612546125465
18,30.420280186791192,48.6324216144096
19,21.652231845436376,43.50433044636909
20,24.184943687018375,39.95257854179016
21,27.428180574555405,38.372093023255815
22,29.7951582867784,45.31346989447548
23,24.651162790697676,44.451827242524914
24,34.00651465798046,45.21172638436482
25,28.474366893143916,44.28659666460778
26,28.26238660153524,45.49895324494068
27,26.618705035971225,42.70765206017005
28,30.815913688469323,43.83007417397168
29,31.37135922330097,44.296116504854375
30,31.92429022082019,46.68769716088328
31,30.74984247006931,43.91934467548834
32,28.93847194050034,40.229885057471265
33,29.709697344039533,46.51019147621989
34,32.59109311740891,44.80431848852901
35,30.091185410334347,42.97872340425532
36,28.810160427807485,45.588235294117645
37,28.661417322834648,42.99212598425196
38,36.80823680823681,46.074646074646076
39,32.49651324965133,47.35006973500697
40,34.11240957150807,48.803561491374516
41,31.589814177563664,43.63386097728837
42,31.862068965517242,44.758620689655174
43,29.432375613174493,46.32095304835319
44,36.542669584245075,46.75419401896426
45,33.06699446834665,50.95267363245236
46,30.833333333333336,46.845238095238095
47,34.014039566049775,46.45820038289726
48,39.565217391304344,46.08695652173913
49,31.402002861230326,45.779685264663804
50,32.03677510608204,45.26166902404526
51,35.8160621761658,47.60362694300518
52,31.03448275862069,47.64890282131661
53,35.063291139240505,49.11392405063291
54,38.44552394170715,50.03469812630118
55,31.977559607293127,46.774193548387096
56,33.599419448476056,47.24238026124819
57,37.00623700623701,50.311850311850314
58,32.17712177121771,45.68265682656826
59,33.3984375,49.67447916666667
60,33.210874357090375,47.90595150624541
61,33.19502074688796,47.30290456431535
62,34.40656565656566,46.6540404040404
63,33.97863818424566,42.72363150867824
64,37.066142763588736,43.811394891944985
65,40.027137042062414,50.47489823609227
66,33.39856490541422,46.118721461187214
67,34.86297004461441,48.24729126832377
68,37.58911211924822,49.1898898250162
69,41.183098591549296,50.140845070422536
70,31.266490765171508,46.56992084432718
71,40.389972144846794,49.69359331476323
72,40.23066485753053,49.525101763907735
73,37.0440251572327,48.61635220125786
74,37.33031674208145,42.835595776772244
75,32.93539325842696,45.646067415730336
76,37.605633802816904,47.394366197183096
77,39.08969210174029,48.25970548862115
78,34.75699558173785,43.961708394698086
79,34.12002697235334,46.3924477410654
80,38.19832402234637,49.37150837988827
81,36.38368246968026,49.66923925027563
82,33.691756272401435,44.086021505376344
83,34.33652530779754,48.290013679890556
84,36.61697990926766,47.95852235904083
85,36.719206071220086,46.760070052539405
86,35.440835266821345,48.8399071925754
87,31.647940074906366,45.19350811485643
88,32.020658489347966,44.54486765655262
89,33.21454027084818,44.689950106913756
90,34.96631965707287,48.009797917942436
91,36.46112600536193,47.788203753351205
92,36.19119878603945,44.840667678300456
93,33.33333333333333,44.7171097477846
94,34.47782546494993,48.640915593705294
95,35.633626097867,49.309912170639905
96,36.08179419525066,46.437994722955146
97,32.795698924731184,44.44444444444444
98,32.33988585922638,48.50982878883957
99,35.24317121918721,47.30179880079947
100,39.465506525792414,49.596022374145434
101,36.20352250489237,47.42335290280496
102,39.88212180746562,48.9849377865095
103,38.13813813813814,47.44744744744745
104,40.82943925233645,50.350467289719624
105,35.22215067611075,46.23309723116549
106,36.33986928104575,46.928104575163395
107,37.15880893300248,50.0
108,37.05512909979065,49.406838799720866
109,35.738831615120276,44.87972508591066
110,36.56059580230197,48.40893703452945
111,37.88706739526412,48.148148148148145
112,38.13354786806114,48.35076427996782
113,40.2555910543131,45.367412140575084
114,36.545324768022844,51.46324054246967
115,40.85576259489303,50.03450655624568
116,40.70688604509446,50.2132845825716
117,34.89694385216773,45.55792466240228
118,37.09219858156028,46.02836879432624
119,35.248547449967724,45.19044544867656
120,38.885595732068765,48.19205690574985
121,41.5421398684997,49.252839210998204
122,35.88516746411483,45.04442925495557
123,38.87801696020874,46.771037181996086
124,39.892183288409704,49.865229110512125
125,37.44292237442922,46.87975646879756
126,40.73560027758501,50.79805690492714
127,42.40170031880977,51.85972369819341
128,41.642011834319526,50.7396449704142
129,34.149403640929066,48.650345260514754
130,37.13027061044682,47.76589049716803
131,40.768348623853214,50.34403669724771
132,40.69767441860465,49.6328029375765
133,38.429752066115704,48.209366391184574
134,35.04492939666239,47.496790757381255
135,34.58001226241569,44.32863274064991
136,36.64473684210526,45.46052631578947
137,40.79283887468031,48.40153452685422
138,41.33138258961229,52.30431602048281
139,39.64456596035543,48.73547505126453
140,35.03649635036496,43.79562043795621
141,38.042678440029434,49.521707137601176
142,38.27328348062542,47.24677090414684
143,39.95617238860482,47.84514243973703
144,40.116655865197664,48.217757615035644
145,37.69077637690776,48.2415394824154
146,41.86327888687235,47.48941318814277
147,40.91766184789441,47.831552482715274
148,38.75476493011436,49.68233799237611
149,38.67163252638113,48.541278708876476
150,38.03191489361702,44.61436170212766
151,40.2398401065956,47.834776815456365
152,39.20765027322404,48.08743169398907
153,39.450089659294676,46.204423191870895
154,34.89666136724961,44.43561208267091
155,38.069705093833775,50.0
156,36.602123672704565,46.03372891942536
157,38.2202304737516,47.183098591549296
158,41.568139390168014,51.21344119477287
159,39.391936549900855,47.785855915399864
160,40.72727272727273,48.72727272727273
161,37.88368336025848,46.52665589660743
162,40.0,49.12052117263844
163,37.163978494623656,46.303763440860216
164,38.19060773480663,45.37292817679558
165,34.72133247918001,44.458680333119794
166,38.855421686746986,45.85843373493976
167,37.91500664010624,46.015936254980076
168,36.29737609329446,43.95043731778426
169,41.641337386018236,48.69300911854103
170,38.970076548364645,45.233124565066106
171,38.43514070006863,46.808510638297875
172,39.67150979153506,47.062539481996204
173,39.91683991683992,48.024948024948024
174,37.02970297029703,48.77887788778878
175,35.638297872340424,44.224924012158056
176,41.17647058823529,48.44679444811633
177,38.97435897435898,47.61904761904761
178,38.09904153354633,46.00638977635783
179,43.24324324324324,51.28992628992629
180,39.602555003548616,46.55784244144783
181,34.224201930215294,44.84038604305865
182,36.65191740412979,46.38643067846608
183,37.10379117464264,44.623990055935366
184,41.44945963127781,50.158931977113795
185,40.2680280791321,48.75558391831525
186,38.40236686390532,48.87573964497041
187,41.63636363636364,48.72727272727273
188,37.128353879622914,47.20812182741117
189,37.192282102461746,46.30738522954092
190,40.14267185473411,50.583657587548636
191,37.693498452012385,47.136222910216716
192,40.349650349650354,47.62237762237762
193,37.68472906403941,47.53694581280788
194,39.97326203208556,44.31818181818182
195,41.91224623444663,47.67518009168304
196,35.803374908290536,42.5531914893617
197,40.18629407850965,47.837658017298736
198,41.06602059357965,46.45669291338583
199,40.95966620305981,49.791376912378304
200,39.11764705882353,48.455882352941174
201,38.28238719068413,44.46870451237264
202,38.999358563181524,45.0288646568313
203,36.11755607115236,44.779582366589324
204,38.8543823326432,47.96411318150449
205,43.988050784167285,51.979088872292756
206,41.03915662650602,47.66566265060241
207,41.23552123552123,48.41698841698842
208,39.11764705882353,46.32352941176471
209,36.356821589205396,44.377811094452774
210,41.37086903304773,50.24479804161567
211,36.171710063335674,47.36101337086559
212,41.85750636132315,49.74554707379134
213,38.536221060492906,46.82598954443615
214,38.804220398593195,45.19343493552169
215,41.38138138138138,49.309309309309306
216,38.73447664104081,45.71259609698403
217,36.57587548638132,45.75875486381323
218,43.357142857142854,50.92857142857142
219,38.13987022350396,45.34967555875991
220,37.264150943396224,46.22641509433962
221,40.17918676774638,47.69124741557547
222,37.525083612040135,44.34782608695652
223,39.722572509457756,49.68474148802018
224,37.92190602250166,47.12111184645929
225,39.52180028129395,49.29676511954993
226,41.66059723233795,48.2884195193008
227,40.7563025210084,47.05882352941176
228,38.87107119948685,48.30019243104554
229,36.587078651685395,46.55898876404495
230,40.993788819875775,48.309178743961354
231,42.71386430678466,50.08849557522124
232,41.72510518934081,49.50911640953717
233,40.62708472314876,47.89859906604403
234,41.79714091218516,48.604492852280465
235,41.41555711282411,45.970567624386824
236,39.832033593281345,45.89082183563287
237,38.80239520958084,48.862275449101794
238,39.477726574500764,46.85099846390169
239,40.959409594095945,51.53751537515375
240,40.50029779630733,47.23049434187016
241,37.196554424432264,46.04541895066562
242,43.47014925373134,52.9228855721393
243,40.32898468519569,48.04310833806012
244,36.31875881523272,46.1212976022567
245,36.70982482863671,43.183549124143184
246,41.5497661990648,48.49699398797595
247,41.42011834319527,47.781065088757394
248,41.27284183994959,48.645242596093254
249,38.625,46.25
250,39.59390862944163,46.77302393038434
251,38.93805309734513,44.24778761061947
252,44.75235849056604,51.47405660377359
253,40.642129992169146,47.45497259201253
254,39.87341772151899,47.89029535864979
255,39.46587537091988,45.1780415430267
256,41.28952262864228,49.34903905765654
257,39.25523661753297,47.09076803723817
258,39.95786516853933,47.6123595505618
259,38.91660727013542,43.47826086956522
260,44.348363187152565,50.27794935145151
261,37.92270531400966,44.20289855072464
262,38.59011627906977,45.93023255813954
263,36.66001330671989,42.315369261477045
264,41.340782122905026,48.324022346368714
265,34.25675675675676,45.40540540540541
266,39.7153024911032,47.90035587188612
267,39.8166339227243,45.05566470203012
268,38.93805309734513,45.776347546259046
269,36.59827928524157,44.73858371939114
270,39.98716302952503,45.442875481386395
271,40.87423312883436,46.70245398773007
272,43.1241655540721,48.99866488651535
273,38.35904628330996,43.96914446002805
274,40.81491712707182,47.444751381215475
275,38.632045598480055,45.535148828372385
276,42.149758454106276,46.85990338164252
277,39.31297709923664,48.01526717557252
278,35.99408721359941,43.31116038433112
279,41.24542124542124,45.86080586080586
280,39.33423913043478,46.26358695652174
281,40.107671601615074,47.51009421265142
282,39.19277748274031,44.87519915029209
283,40.333796940194716,47.357440890125176
284,38.87733887733888,43.65904365904366
285,40.23809523809524,44.82142857142858
286,42.52953439888812,48.08895066018068
287,38.51018973998595,45.32677442023893
288,39.27958833619211,46.883933676386505
289,36.28552544613351,42.82881692002643
290,40.86502609992543,48.8441461595824
291,41.692789968652036,47.39811912225706
292,38.39563862928349,44.54828660436137
293,41.576673866090715,46.59827213822894
294,41.388699795779445,48.264125255275694
295,43.62017804154303,47.833827893175076
296,39.06911142454161,44.781382228490834
297,42.06617150573936,50.303848750844026
298,42.217898832684824,48.378728923476004
299,37.086558761435604,43.34975369458128
300,40.20356234096692,45.41984732824427
301,39.02888752304855,46.40442532267978
302,39.08890521675239,42.248346803820716
303,40.94132817537073,46.03481624758221
304,42.698019801980195,47.95792079207921
305,42.00459066564652,46.671767406273915
306,41.23917388407728,45.436375749500336
307,37.6940133037694,43.385070214338505
308,39.59290873276428,45.56795797767564
309,39.87813134732566,45.36222071767095
310,40.42027194066749,45.364647713226205
311,39.0795631825273,45.70982839313572
312,41.18081180811808,43.39483394833948
313,40.78771695594126,45.66088117489986
314,38.62690707350902,45.28432732316227
315,40.6371911573472,46.68400520156047
